"","x"
"intrcpt",2.29749413934004
"OA",0.345160007934702
"BC.extinction.ratePBDB",-0.128115911615669
"del.18O",-0.0359500289274733
"del.34S",-0.064490357420763
"del.13C",-0.017426626280548
