"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.PBDB3","BC.extinction.rate.max","BC.extinction.ratePBDB.max","BC.extinction.rate.PBDB3.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","mean_d13C.detrended.prok","mean_d18O.detrended.prok","mean_d34S.detrended.prok","Volcanism","Flood_basalt","Bolide","OA"
245,249.7,"Olenekian","Early Triassic","Triassic",389.5,-5.14475,1.20014,0.70786,20.3945,0.0845,0.0885,0.0965,0.106,0.0885,0.134,0.662564102564102,0.502103480946567,21,-5.20961538461539,1.82291843369691,21,-5.42843333333333,-22.5653285566667,0.38,0.113137085,2,-7.53,0.664680374,2,26.35,0.070710678,2,0.708106698,0.000126885,14,-1.49986971055908,-4.34012347152067,6.12331657386682,0,0,0,0
249.7,251,"Induan","Early Triassic","Triassic",561,-5.9799,1.562,0.70784,19.698,0.106,0.128,0.134,0.106,0.128,0.134,0.583333333333333,0.361155552820849,3,-6.4,2.01285866369201,3,-5.46065,-26.16577803,NA,NA,0,NA,NA,0,17.525,4.895150662,4,0.70767952,0.000319734,17,NA,NA,-2.7490846294926,1,1,0,1
251,253.8,"Changhsingian","Lopingian","Permian",32,-3.8046,3.4807,0.70725,16.916,0.233333333333333,0.257666666666667,0.259,0.519,0.257666666666667,0.564,3.70166666666667,1.01210972327808,30,-2.80333333333333,0.791769442814455,30,-5.46065,-26.16577803,3.2365,1.441177424,20,-4.2615,2.124197124,20,NA,NA,0,0.707283194,0.000224576,14,1.36968501021714,-1.00059477742719,NA,1,1,0,1
253.8,260.4,"Wuchiapingian","Lopingian","Permian",32,-3.8046,3.4807,0.70725,16.916,0.322,0.356,0.301333333333333,0.519,0.356,0.564,3.70166666666667,1.01210972327808,30,-2.80333333333333,0.791769442814455,30,2.48766666666667,-20.81346366,3.617878788,0.841244456,33,-3.537878788,1.013545009,33,NA,NA,0,0.707206216,0.000206456,21,1.75715600124604,-0.243826841516896,NA,1,1,0,0
260.4,265.5,"Capitanian","Guadalupian","Permian",1232,-3.4437,4.9767,0.70715,14.133,0.119333333333333,0.111666666666667,0.132,0.168,0.111666666666667,0.191,4.67973684210526,1.30460201416475,38,-2.26105263157895,1.86598396545019,38,8.215,-18.79445269,4.853,0.780223315,20,-2.796,1.268527534,20,11,NA,1,0.7071732,0.000313435,5,3.00663740609988,0.576183509985935,-9.38199800735341,1,0,0,0
265.5,268,"Wordian","Guadalupian","Permian",1232,-3.4437,4.9767,0.70715,14.133,0.065,0.055,0.073,0.065,0.055,0.073,4.67973684210526,1.30460201416475,38,-2.26105263157895,1.86598396545019,38,14.03665,-5.857602039,5.966956522,1.527711999,23,-4.134782609,2.10291112,23,14.1,4.344536799,5,0.707232667,0.000141302,3,4.13169044075966,-0.702224709034604,-6.33343335567959,0,0,0,0
268,270.6,"Roadian","Guadalupian","Permian",1082,-3.6077,4.51115,0.707115,13.6505,0.06,0.056,0.08,0.06,0.056,0.08,4.83884163533834,1.26710015336273,75,-1.74916267942584,1.68473885022372,74,14.03665,-5.857602039,3.404615385,1.986322462,13,-3.360769231,0.87565653,13,NA,NA,0,0.707082,NA,1,1.57478877074975,0.101383958171014,NA,0,0,0,0
270.6,275.6,"Kungurian","Cisuralian","Permian",932,-3.7717,4.0456,0.70708,13.168,0.06,0.0425,0.0765,0.06,0.0425,0.08,4.99794642857143,1.22959829256071,112,-1.23727272727273,1.50349373499725,110,8.82876666666667,-5.64520592033333,4.244634146,1.535286777,41,-3.654634146,2.558893411,41,14.4,1.272792206,2,0.707006872,8.48e-05,9,2.42046457741944,-0.161701856055143,-6.08486870400577,1,0,0,0
275.6,284.4,"Artinskian","Cisuralian","Permian",1021.5,-3.56285,3.96395,0.707305,12.968,0.034,0.02,0.0385,0.06,0.02,0.073,4.73027918443497,1.22944157216179,123,-1.70774084124831,1.26978569770719,122,4.051,-3.4133914205,3.147857143,1.470045413,14,-4.876666667,1.883272458,12,12.58333333,1.08888322,6,0.707169235,0.00016623,48,1.33456650839962,-1.32454379864391,-7.95196218609026,0,0,0,0
284.4,294.6,"Sakmarian","Cisuralian","Permian",1111,-3.354,3.8823,0.70753,12.768,0.0185,0.009,0.0105,0.024,0.009,0.017,4.46261194029851,1.22928485176287,134,-2.17820895522388,1.03607766041713,134,6.437,-0.974660128666667,3.1425,1.678057976,8,-4.4725,2.017386924,8,NA,NA,0,0.707566333,0.000266031,40,1.34835628920474,-0.816201713640134,NA,0,0,0,0
294.6,299,"Asselian","Cisuralian","Permian",592,-2.4478,3.7725,0.7082,12.581,0.013,0.01,0.0106666666666667,0.013,0.01,0.017,4.76582677165354,0.871900351945126,127,-2.22165354330709,0.866372444361232,127,4.811,-0.658805614,4.311923077,1.039584606,26,-2.680769231,1.988003869,26,12.6,NA,1,0.707962258,0.000148195,22,2.53997239152431,1.09627783531879,-8.12691740201133,1,1,0,0
299,303.9,"Gzhelian","Late Pennsylvanian"," Pennsylvanian",380.5,-2.52085,4.25625,0.708285,13.009,0.015,0.02,0.022,0.026,0.02,0.034,4.15804039419536,1.09834913993928,300,-2.31807721464155,0.893782178234612,300,1.891,-0.681525776,3.698980583,1.035469696,206,-2.596456311,0.910317321,206,12.5,0.141421356,2,0.708201007,8.93e-05,10,1.93660335942687,1.23267846432068,-8.27129299664568,0,0,0,0
303.9,306.5,"Kasimovian","Late Pennsylvanian"," Pennsylvanian",500,-2.7266,4.9648,0.70827,13.294,0.024,0.015,0.034,0.026,0.015,0.034,4.02423868312757,1.11797356101076,486,-2.42711934156379,0.807890427241997,486,1.60566666666667,-0.0911830586666667,3.761917808,1.028486896,219,-2.253881279,0.698272445,219,11.55,0.494974747,2,0.708251706,8.72e-05,17,2.01020193972745,1.63326026316369,-9.27071127248849,0,0,0,0
306.5,311.7,"Moscovian","Middle Pennsylvanian"," Pennsylvanian",297.5,-2.6468,4.7927,0.70828,13.486,0.022,0,0.027,0.022,0,0.034,4.55381934156379,1.22800359643754,318,-2.78973614137013,0.782737340297621,319.5,-6.6155,-9.3405828925,4.719270759,1.468788351,165,-2.636655701,1.058453032,168,13.325,0.394757309,4,0.708279488,4.45e-05,41,2.97321193639714,1.28126494193753,-7.52193321477242,0,0,0,0
311.7,318.1,"Bashkirian","Early Pennsylvanian"," Pennsylvanian",237,-2.8206,4.5016,0.70827,14.8,0.0155,0.0055,0.015,0.022,0.0055,0.02,4.89266129032258,1.14638428329834,124,-2.47274193548387,1.77968771295008,124,-2.53233333333333,-15.989505393,4.498000769,1.151715621,108,-2.769581901,2.25325693,107,15.55714286,0.818244346,7,0.708276828,9.65e-05,29,2.76325603773653,1.20989694348521,-5.34223423934029,0,0,0,0
318.1,326.4,"Serpukhovian","Late Mississipian","Mississipian",399,-3.8082,2.4079,0.7079,14.609,0.061,0.058,0.059,0.061,0.058,0.059,3.05748148148148,1.86008705156074,405,-2.43948402948403,1.45818295023976,407,2.39333333333333,-15.518511274,2.498823548,1.649285045,107,-3.161441008,1.627006213,109,14.5875,0.944816687,8,0.70802013,0.000159095,31,0.778003852231157,0.893801776851595,-6.37642341880844,0,0,0,0
326.4,345.3,"Visean","Middle Mississipian","Mississipian",345,-4.01655,2.7056,0.70784,15.2285,0.105,0.156,0.09,0.105,0.156,0.121,2.84781177899211,1.68057016125454,385.5,-3.23159132981051,1.91995282733462,386,9.70075,-3.671989902,2.721746413,1.524571885,304,-4.147130825,2.622939841,304,15.25454545,2.273483511,11,0.707842963,0.000184999,196,1.01898574763826,0.00636832001424672,-5.7930864768687,0,0,0,0
345.3,359.2,"Tournaisian","Early Mississipian","Mississipian",353,-3.8525,2.8603,0.70817,19.902,0.044,0.043,0.049,0.044,0.043,0.049,2.77743315508021,1.75419400343592,187,-3.69379679144385,2.07091378235989,187,7.259,4.58051533266667,2.743454155,1.760538651,161,-3.787639394,2.046047716,161,19.56666667,1.803699901,3,0.708086662,0.000231644,84,1.08181586008334,0.589600137408718,-1.67157860654807,0,0,0,0
359.2,374.5,"Famennian","Late Devonian","Devonian",192,-5.6867,1.012,0.70825,21.423,0.0885,0.0605,0.0915,0.133,0.0605,0.134,0.938765432098765,1.10942145138361,81,-6.05296296296296,1.30821007911998,81,8.80533333333333,9.95817939333333,1.057857143,1.378615401,28,-5.68175,1.799176289,40,NA,NA,0,0.708255904,0.000155352,48,-0.57353771545176,-1.13996066060805,NA,1,1,0,0
374.5,385.3,"Frasnian","Late Devonian","Devonian",499,-5.9852,0.82236,0.70811,22.031,0.182333333333333,0.106666666666667,0.211333333333333,0.294,0.106666666666667,0.337,0.734123456790123,1.1784210927548,405,-5.39355555555556,1.30502539712019,405,7.15933333333333,13.5885348613333,0.858515625,1.490372149,64,-5.998685484,1.571403284,93,24.02,1.999249859,5,0.708108551,7.69e-05,87,-0.739589695472408,-1.27577297466967,2.4872621408785,1,1,0,0
385.3,391.8,"Givetian","Middle Devonian","Devonian",818,-5.1461,0.90967,0.70785,20.655,0.1985,0.116,0.2315,0.294,0.116,0.337,1.90279569892473,0.807637948361438,93,-3.5141935483871,1.23227636879409,93,2.999,13.6185710776667,0.914360406,1.422081801,197,-5.11764,1.616569946,223,23.1,0.707106781,2,0.707853846,5.6e-05,55,-0.660246417075218,-0.266875841301397,1.458340226776,0,0,0,0
391.8,397.5,"Eifelian","Middle Devonian","Devonian",278,-3.9459,0.89763,0.70791,19.687,0.134,0.085,0.1595,0.165,0.085,0.193,0.625251141552511,0.78614044192928,219,-5.03867579908676,1.67486425025939,219,-4.84733333333333,6.245381987,0.898137931,1.310947278,29,-3.947525,1.13351448,40,16.4,NA,1,0.707904679,8.19e-05,90,-0.662326277900984,0.98018691063321,-5.30721462893384,0,0,0,0
397.5,407,"Emsian","Early Devonian","Devonian",143,-5.9518,0.35291,0.70793,19.01,0.165,0.094,0.193,0.165,0.094,0.193,0.209857142857143,0.920262238707923,70,-4.22642857142857,1.91055499616597,70,-4.172,-0.344937079,0.352871429,0.919478476,210,-5.940741784,1.334958495,213,17,3.892942332,5,0.707930792,0.000127822,93,-1.19519079516358,-0.945552613977982,-4.76470119471016,0,0,0,0
407,411.2,"Pragian","Early Devonian","Devonian",55,-5.3546,1.4511,0.7085,20.93,0.147,0.072,0.1535,0.165,0.072,0.193,1.59794117647059,0.410075967919653,34,-4.25558823529412,0.98693953385897,34,-0.172,-2.80743790766667,1.443670886,0.991918857,79,-5.348101266,1.678816033,79,NA,NA,0,0.7084844,0.000129784,5,-0.0837213636012352,-0.240449996996633,NA,0,0,0,0
411.2,416,"Lochkovian","Early Devonian","Devonian",302,-5.8099,2.234,0.70871,24.131,0.1185,0.108,0.1045,0.129,0.108,0.114,1.71703703703704,1.00739502150087,27,-6.79185185185185,1.78830180948948,27,4.36966666666667,-0.314512951,2.243762376,0.845034735,101,-5.831089109,1.811499876,101,24.33333333,4.152509282,3,0.708714231,4.69e-05,26,0.725508430942116,-0.673717754131196,2.43046267017833,0,0,0,0
416,418.7,"Pridolian","Pridoli","Silurian",167,-5.5015,0.38914,0.70873,25.297,0.1075,0.169,0.105,0.108,0.169,0.115,2.405,0.983830382851751,28,-4.07607142857143,0.779502877127298,28,5.51366666666667,3.708711594,0.371333333,1.561729221,30,-5.505609756,1.011993203,41,25.32,3.276736181,5,0.708725989,3.46e-05,17,-1.13647683543691,-0.29141544585641,3.36871960057722,0,0,0,0
418.7,421.3,"Ludfordian","Ludlow","Silurian",274,-4.8874,2.5645,0.70866,26.714,0.147,0.175,0.098,0.147,0.175,0.098,0.371333333333333,1.56172922138236,30,-5.50560975609756,1.01199320348629,41,5.88233333333333,8.03547983166667,3.234974874,2.958531043,199,-4.704974874,1.114590958,199,27.13333333,3.295957119,3,0.70869695,3.74e-05,45,1.73303932991239,0.541182348485657,5.15482245205159,0,0,0,0
421.3,422.9,"Gorstian","Ludlow","Silurian",274,-4.8874,2.5645,0.70866,26.714,0.097,0.136,0.164,0.097,0.136,0.164,0.371333333333333,1.56172922138236,30,-5.50560975609756,1.01199320348629,41,6.0445,10.2004473785,1.281698113,1.773018664,106,-5.22990566,1.436624016,106,25.7,NA,1,0.708576928,8.74e-05,20,-0.214580385417919,0.0470306632595001,3.69526717976766,0,0,0,0
422.9,426.2,"Homerian","Wenlock","Silurian",464,-4.6173,1.6999,0.7084,26.987,0.016,0.044,0.025,0.016,0.044,0.025,2.32005167958656,2.522203884018,387,-4.8249354005168,1.18720889356338,387,2.69566666666667,8.76536242633333,0.93873065,1.539006475,323,-4.471517028,0.664655977,323,27.88571429,4.838191319,7,0.708446231,6.67e-05,41,-0.554066589544262,0.824360280351095,5.86484488990062,0,0,0,0
426.2,428.2,"Sheinwoodian","Wenlock","Silurian",464,-4.6173,1.6999,0.7084,26.987,0.044,0.027,0.047,0.044,0.027,0.047,2.32005167958656,2.522203884018,387,-4.8249354005168,1.18720889356338,387,1.306,9.229857701,3.328874172,1.363716756,151,-4.927748344,0.59576189,151,25.95,6.293250353,2,0.708372337,5.15e-05,61,1.84325702888266,0.407194746102511,3.89584890392486,0,0,0,0
428.2,436,"Telychian","Llandovery","Silurian",224,-5.2579,1.2845,0.70824,27.884,0.101,0.129,0.143,0.101,0.129,0.143,1.69405701754386,1.88176278971125,456,-4.72899122807018,0.675561363583531,456,-1.09,5.40520321633333,1.284476744,0.664585687,86,-5.257906977,0.558021961,86,27.24,2.679178979,5,0.70824117,9.65e-05,50,-0.19678882552527,0.100712344467005,5.16567817909106,0,0,0,0
436,439,"Aeronian","Llandovery","Silurian",156,-4.2596,1.3272,0.70807,28.553,0.011,0,0.011,0.011,0,0.011,1.1756,0.667420906674841,25,-4.898,0.542878132426299,25,-5.42833333333333,-2.211850377,1.3272,1.486473792,25,-4.2596,0.646802907,25,29.64,3.326108838,5,0.708067313,4.4e-05,13,-0.137094432516189,1.19135662378853,7.48701235223926,0,0,0,0
439,443.7,"Rhuddanian","Llandovery","Silurian",99,-4.2996,0.9575,0.70803,26.536,0.012,0,0.0235,0.012,0,0.036,1.1242,1.09563156700245,50,-4.2398,0.607697192317868,50,-1.62866666666667,-5.93729000766667,0.9575,0.390665387,28,-4.299642857,0.596803101,28,28.6,3.0757113,4,0.70800279,9.06e-05,5,-0.500267072128081,1.18682811383527,6.41675626498856,0,0,0,0
443.7,445.6,"Hirnantian","Late Ordovician","Ordovician",953,-3.9971,1.819,0.70793,24.984,0.058,0.036,0.082,0.058,0.036,0.082,2.00776470588235,2.19892409219691,170,-3.88817647058824,1.21380455887074,170,0.498,-7.783882135,2.534867257,2.493001316,113,-3.502654867,1.175588772,113,14.5,NA,1,0.707962627,0.000158546,33,1.08732638281329,2.03945524754184,-7.73064493837086,0,0,0,0
445.6,455.8,"Katian","Late Ordovician","Ordovician",713,-5.1292,0.16855,0.7079,24.434,0.245,0.057,0.229,0.245,0.057,0.229,0.0508724832214765,0.75489746295477,149,-5.06574324324324,0.761674749104513,148,5.09375,0.823150122,0.430680473,0.803287319,169,-4.89797619,0.826616768,168,24.6,4.745524207,5,0.707928098,0.000124484,72,-1.01272640627424,0.666626344338107,2.35019287303703,0,0,0,0
455.8,460.9,"Sandblian","Late Ordovician","Ordovician",283,-5.0705,-0.053035,0.70807,24.477,0.12,0.363,0.1845,0.12,0.363,0.229,-0.685833333333333,0.459039676109184,12,-5.20666666666667,0.744242547626088,12,2.67425,5.96289241725,-0.378795918,0.738439514,49,-5.194877551,0.732984244,49,24.83333333,2.281081615,3,0.708103198,0.00018332,38,-1.80000977195467,0.490473763297027,2.48065550638467,0,0,0,0
460.9,468.1,"Darriwilian","Middle Ordovician","Ordovician",96,-5.9429,-0.38571,0.70847,26.205,0.164,0.095,0.147,0.164,0.095,0.147,-0.539411764705882,0.783898343658622,34,-7.02235294117647,1.03282800593302,34,NA,NA,-0.393333333,0.714878014,30,-6.817333333,0.918713243,30,23.9,6.929646456,2,0.708524723,0.00033991,25,-1.80345067429489,-1.07160762872351,1.49588682805849,0,0,0,0
468.1,471.8,"Dapingian","Middle Ordovician","Ordovician",371,-7.2945,-1.073,0.7087,26.658,0.031,0,0.0875,0.031,0,0.147,-1.34589285714286,0.87299646315167,56,-7.02821428571429,0.943080266790897,56,NA,NA,-1.989411765,0.949588533,17,-7.58,1.095433704,17,27.9,NA,1,0.709005234,0.000306997,13,-3.38386344136343,-1.74903986281133,5.42327221865682,0,0,0,0
471.8,478.6,"Floian","Early Ordovician","Ordovician",571,-7.8388,-1.1365,0.7089,28.112,0.041,0,0.044,0.041,0,0.044,-1.15641025641026,0.651841469181479,39,-8.81589743589744,1.1780285001215,39,NA,NA,-1.13647561,0.654683681,82,-7.838780488,1.393898388,82,28.86666667,2.742869544,3,0.708886399,0.000149216,74,-2.5228768752181,-1.96401932278702,6.3526230477143,0,0,0,0
478.6,488.3,"Tremadocian","Early Ordovician","Ordovician",287,-9.554,-1.4277,0.70901,30.107,NA,NA,0.044,NA,NA,0.044,-1.42,0.674787003431453,17,-9.54705882352941,0.833199891276715,17,NA,NA,-1.419705882,0.675204762,17,-9.547235294,0.833171616,17,27.3,5.716642371,3,0.709013117,0.000119455,123,-2.79131179700505,-3.59197494214774,4.71737591327939,0,0,0,0
488.3,501,"Pabian","Furongian","Cambrian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,33.26,3.233883115,5,0.709100726,6.29e-05,58,NA,NA,10.5795478978355,NA,NA,NA,NA
501,513,"Middle Cambrian","Middle Cambrian","Cambrian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,542,"Early Cambrian","Early Cambrian","Cambrian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
