"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.PBDB3","BC.extinction.rate.max","BC.extinction.ratePBDB.max","BC.extinction.rate.PBDB3.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","mean_d13C.detrended.prok","mean_d18O.detrended.prok","mean_d34S.detrended.prok","Volcanism","Flood_basalt","Bolide","OA"
37.2,40.4,"Bartonian","Middle Eocene","Paleogene",289,-0.48389,2.5439,0.70775,22.271,0.083,0.033,0.06,0.083,0.033,0.06,1.82859649122807,0.824961987428363,57,-0.545081967213115,1.26270031143686,61,3.613,5.55535596566667,2.545789474,0.549295668,19,-0.480952381,0.1944712,21,22.28,0.229172424,6,0.707757444,4.46e-05,9,0.213791267224623,0.248963708708373,4.14905488409828,0,0,0,0
40.4,48.6,"Lutetian","Middle Eocene","Paleogene",198,-1.0291,2.8942,0.70777,22.295,0.036,0.024,0.045,0.036,0.024,0.045,1.77314285714286,1.13254287368734,140,-1.1514,1.25179067980245,150,2.26466666666667,9.41886684966667,2.907857143,0.233386615,28,-1.029142857,0.452622238,35,22.4,NA,1,0.707772667,6.08e-05,15,0.582821453971939,-0.261344797108436,4.2367817243642,1,0,0,0
48.6,55.8,"Ypresian","Early Eocene","Paleogene",135,-1.7186,2.6243,0.70775,19.512,0.038,0.014,0.019,0.038,0.014,0.019,1.98558823529412,0.742025039095903,34,-1.13854166666667,0.838631077013804,48,3.42066666666667,14.6964099566667,2.560684211,0.348619508,19,-1.701461538,0.336311074,26,19.332,1.520756756,10,0.70775,3.15e-05,11,0.253489973699434,-0.83659092951401,1.08608175254564,0,0,0,1
55.8,58.7,"Thanetian","Late Paleocene","Paleogene",211,-0.97357,2.9229,0.70777,17.898,0.048,0.018,0.037,0.048,0.018,0.037,3.05833333333333,1.13116252222454,90,-0.897894736842105,0.514897004236774,95,1.869,17.110683955,3.670771429,1.047870869,35,-1.078405405,0.569827774,37,17.52833333,0.307207856,6,0.707760333,5.11e-05,9,1.37924285663089,-0.12830036360183,-0.790199526856032,0,0,0,0
58.7,61.7,"Selandian","Middle Paleocene","Paleogene",211,-0.97357,2.9229,0.70777,17.898,0.035,0.004,0.037,0.035,0.004,0.037,3.05833333333333,1.13116252222454,90,-0.897894736842105,0.514897004236774,95,-0.311333333333333,16.10217749,2.083607143,0.932319145,28,-0.835166667,0.519971623,30,18.14111111,0.143539905,3,0.7077836,7.56e-05,5,-0.201611647660601,0.149268909876687,-0.206669297865035,0,0,0,0
61.7,65.5,"Danian","Early Paleocene","Paleogene",246,-0.59825,1.8397,0.70785,18.626,0.2655,0.2615,0.104,0.427,0.2615,0.104,1.82846153846154,0.554761866700424,39,-0.671463414634146,0.337354123849181,41,-3.961,13.508128478,1.785666667,0.540431881,42,-0.609681818,0.339938898,44,18.970625,0.166571252,8,0.707846193,5.07e-05,57,-0.493024763272493,0.410268105923428,0.592588504884268,1,1,0,0
65.5,70.6,"Maastrichtian","Late Cretaceous","Cretaceous",950,-1.2032,2.4131,0.70778,18.852,0.427,0.417,0.408,0.427,0.417,0.408,2.16476821192053,0.841171335221776,302,-0.818415841584158,0.968948429118526,303,-0.628,14.372710028,2.414,0.277656285,82,-1.200621951,0.551392192,82,18.59888889,1.216608446,9,0.70778438,6.87e-05,71,0.143576559552444,-0.135687187484033,0.182528017700057,1,1,1,1
70.6,83.5,"Campanian","Late Cretaceous","Cretaceous",865,-1.35615,2.3816,0.7077,18.7205,0.048,0.053,0.043,0.048,0.053,0.043,2.25099856379159,0.73376136927484,275.5,-1.11771982555398,1.02798837013197,277.5,-1.11733333333333,14.8933596646667,2.34872449,0.296992929,98,-1.514989899,0.951215994,99,18.656,0.54657113,15,0.707615,9.84e-05,90,0.0893975622122281,-0.389680745504572,0.188203779373874,1,0,1,0
83.5,85.8,"Santonian","Late Cretaceous","Cretaceous",209,-1.5366,2.341,0.70745,17.993,0.021,0.024,0.035,0.021,0.024,0.043,2.16565217391304,0.649865902859663,23,-3.04583333333333,1.20461762530207,24,-0.249333333333333,16.1182515466667,NA,NA,0,NA,NA,0,17.66,0.895023277,4,0.707459818,7e-05,11,NA,NA,-0.937897395804112,0,0,0,0
85.8,89.3,"Coniacian","Late Cretaceous","Cretaceous",280.5,-2.08165,2.48915,0.70735,18.481,0.005,0.01,0.006,0.005,0.01,0.006,1.45997507477568,0.472531047400211,288.5,-4.06810777450258,0.626184693732642,289,-2.42833333333333,14.7192862266667,2.016666667,0.947959211,6,-2.26,1.626837423,6,18.165,NA,1,0.707352333,2.72e-05,9,-0.209588301488024,-0.954751488134416,-0.456093729362979,0,0,0,0
