"Binned_Age","Binned_Stage","mean_d13C","stdev_d13C","d13C_N","mean_d18O","stdev_d18O","d18O_N","data_subset"
"59",391.8,"Eifelian",0.487371794871795,0.844745514020289,156,-5.87935897435897,1.13024900453021,156,"All"
"60",397.5,"Emsian",-0.0542424242424242,1.24818625989631,33,-5.4630303030303,2.07124884557675,33,"All"
"61",407,"Pragian",1.59794117647059,0.410075967919653,34,-4.25558823529412,0.98693953385897,34,"All"
"62",411.2,"Lochkovian",1.71703703703704,1.00739502150087,27,-6.79185185185185,1.78830180948948,27,"All"
"63",416,"Pridoli",2.405,0.983830382851751,28,-4.07607142857143,0.779502877127298,28,"All"
"64",418.7,"Gorstian-Ludfordian",0.371333333333333,1.56172922138236,30,-5.441,1.00279041713095,30,"All"
"65",422.9,"Sheinwoodian/Tonawandan-Homerian/Lockportian",2.32005167958656,2.522203884018,387,-4.8249354005168,1.18720889356338,387,"All"
"66",428.2,"Telychian/Ontarian",1.69405701754386,1.88176278971125,456,-4.72899122807018,0.675561363583531,456,"All"
"67",436,"Aeronian?",1.1756,0.667420906674841,25,-4.898,0.542878132426299,25,"All"
"68",439,"Rhuddanian?",1.1242,1.09563156700245,50,-4.2398,0.607697192317868,50,"All"
"69",443.7,"Hirnantian",2.00776470588235,2.19892409219691,170,-3.88817647058824,1.21380455887074,170,"All"
"70",445.6,"Katian 1?",0.0498648648648649,0.75736024416218,148,-5.06574324324324,0.761674749104513,148,"All"
"71",455.8,"Sandbian II?",-0.685833333333333,0.459039676109184,12,-5.20666666666667,0.744242547626088,12,"All"
"72",460.9,"Darriwilian?",-0.539411764705882,0.783898343658622,34,-7.02235294117647,1.03282800593302,34,"All"
"73",468.1,"Dapingian?",-1.34589285714286,0.87299646315167,56,-7.02821428571429,0.943080266790897,56,"All"
"74",471.8,"Floian",-1.15641025641026,0.651841469181479,39,-8.81589743589744,1.1780285001215,39,"All"
"75",478.6,"Tremadocian",-1.42,0.674787003431453,17,-9.54705882352941,0.833199891276715,17,"All"
"76",496,"Paibian?",-0.487234042553191,0.850947559125196,47,-7.98574468085106,1.03374949593774,47,"All"
"77",0,"Pleistocene-Recent",2.01545454545455,0.286159523216112,11,-0.891818181818182,0.466772282420844,11,"Tropical"
"78",2.59,"Zanclean-Placenzian",2.329375,0.260242675209121,16,-1.418125,0.34129593707905,16,"Tropical"
"79",5.33,"Messinian",2.795,0.185562208796224,4,-1.4775,0.0567890834580028,4,"Tropical"
"80",11.61,"Serravallian",2.215,0.278549816011427,6,-1.11666666666667,0.439348001778393,6,"Tropical"
"81",13.65,"Langian",2.574,0.214196171767845,5,-1.638,0.770726929593095,5,"Tropical"
"82",15.97,"Burdigalian",2.61538461538462,0.242920267598767,13,-0.782307692307692,0.664744986770038,13,"Tropical"
"83",20.43,"Aquitanian",1.79909090909091,0.838038836158021,11,-0.772727272727273,0.496932408061517,11,"Tropical"
"84",23.03,"Chattian",0.740285714285714,0.278615122623704,35,-0.438285714285714,0.352048506970991,35,"Tropical"
"85",28.4,"Rupelian",0.790952380952381,0.338820081487281,21,-0.303333333333333,0.215739039891563,21,"Tropical"
"86",33.9,"Priabonian",0.921034482758621,0.777529718437943,29,-1.87310344827586,1.2173686595284,29,"Tropical"
"87",37.2,"Bartonian",2.2237037037037,0.735454585473126,27,-1.18333333333333,1.13651288530379,27,"Tropical"
"88",40.4,"Lutetian",1.77058823529412,1.31570310095399,85,-1.94129411764706,0.993096154452727,85,"Tropical"
"89",48.6,"Ypresian",2.56052631578947,0.348241194898825,19,-1.63842105263158,0.338858593219695,19,"Tropical"
"90",55.8,"Selandian-Thanetian",2.96619047619048,1.26978335537416,63,-0.940634920634921,0.55380756240795,63,"Tropical"
"91",61.7,"Danian",1.62766666666667,0.466148439679993,30,-0.613666666666667,0.36895456531173,30,"Tropical"
"92",65.5,"Maastrichtian",2.24678260869565,0.489384769201564,115,-1.48286956521739,0.96247102049551,115,"Tropical"
"93",72.1,"Campanian",2.3503125,0.298968236739202,96,-1.45854166666667,0.857948568163637,96,"Tropical"
"94",85.8,"Coniacian?",2.54,0.127279220613578,2,-1.365,0.176776695296637,2,"Tropical"
"95",88.6,"Turonian?",2.3425,0.965989500090821,8,-2.29625,1.32911288889566,8,"Tropical"
"96",93.6,"Cenomanian",2.36425,0.939737790761133,40,-2.4695,0.465463375407941,40,"Tropical"
"97",99.6,"Albian",2.04388888888889,0.446376824186224,72,-2.53416666666667,0.526208200641662,72,"Tropical"
"98",112,"Aptian",3.24444444444444,0.687315631844481,9,-0.153333333333333,0.77244740921308,9,"Tropical"
"99",125,"Barremian",0.0133333333333333,1.33185084249951,6,0.085,0.341159786610321,6,"Tropical"
"100",130,"Hauterivian?",0.111,0.493230845210097,10,-0.348,0.262500793649594,10,"Tropical"
"101",133.9,"Valanginian?",-0.411851851851852,0.913804544986917,27,-0.219259259259259,0.467151152658537,27,"Tropical"
"102",150.8,"Kimmeridgian?",1.36,NA,1,-2.11,NA,1,"Tropical"
"103",164.7,"Bathonian",0.739268292682927,0.769211902676702,41,-1.22268292682927,0.583339628305175,41,"Tropical"
"104",167.7,"Bajocian",1.15636363636364,0.876952367318462,11,-2.38363636363636,0.973635175281509,11,"Tropical"
"105",175.7,"Toarcian?",1.85,0.529474132647533,8,-1.73125,0.847052663230401,8,"Tropical"
"106",183,"Pliensbachian",1.1414,0.65803358887038,50,-1.0702,0.994372923104849,50,"Tropical"
"107",189.6,"Sinemurian",0.430588235294118,0.650244863380666,17,-1.25823529411765,0.703200143043551,17,"Tropical"
"108",199.6,"Norian-Rhaetian",1.64161290322581,0.521964856889769,31,-1.73903225806452,0.600140843684268,31,"Tropical"
"109",216.5,"Carnian",3.48,NA,1,-2,NA,1,"Tropical"
"110",228.7,"Ladinian",3.03538461538462,0.68350815709084,39,-2.52974358974359,1.05741115635133,39,"Tropical"
"111",237,"Anisian",0.741794871794872,0.643051409072285,39,-4.01923076923077,1.63297820370181,39,"Tropical"
"112",245.9,"Induan-Olenekian?",0.583333333333333,0.361155552820849,3,-6.4,2.01285866369201,3,"Tropical"
"113",251,"Wuchiapingian-Changhsingian",2.6,0.804155872120988,4,-3.075,0.262995563967658,4,"Tropical"
"114",260.4,"Wordian/Kazanian-Capitanian",5.9,NA,1,-0.1,NA,1,"Tropical"
"115",270.6,"Kungurian?",5.37028571428571,0.931088817758339,35,-1.04028571428571,1.63538174301236,35,"Tropical"
"116",299,"Gzhelian?",1.428,2.0999452373812,5,-4.224,0.211258135938004,5,"Tropical"
"117",303.4,"Kasimovian?",5.74,0.935307436087194,3,-3.08,0.173205080756888,3,"Tropical"
"118",307.2,"Moscovian?",3.66666666666667,2.45424801789333,3,-3.33333333333333,2.33523731841827,3,"Tropical"
"119",311.7,"Bashkirian",4.95571428571429,0.752173407642703,14,-5.67714285714286,3.16177513084374,14,"Tropical"
"120",318.1,"Serpukhovian?",2.62784,1.47934084275134,125,-3.00904,1.78874231541822,125,"Tropical"
"121",328.3,"Viséan?",2.52292929292929,1.68100782710019,198,-5.23772727272727,2.30019076374281,198,"Tropical"
"122",345.3,"Tournaisian?",2.32726315789474,1.6485438075254,95,-4.85557894736842,1.67261084980076,95,"Tropical"
"123",359.2,"Famennian",0.433488372093023,0.809120285721681,43,-6.92209302325581,1.20122468882612,43,"Tropical"
"124",374.5,"Frasnian",0.868071748878924,1.4681324639711,223,-5.40995515695067,1.6380254807107,223,"Tropical"
"125",385.3,"Givetian",1.65344827586207,1.04253220526504,29,-4.32344827586207,1.86995850958951,29,"Tropical"
"126",391.8,"Eifelian",0.487371794871795,0.844745514020289,156,-5.87935897435897,1.13024900453021,156,"Tropical"
"127",397.5,"Emsian",-0.0542424242424242,1.24818625989631,33,-5.4630303030303,2.07124884557675,33,"Tropical"
"128",407,"Pragian",1.59794117647059,0.410075967919653,34,-4.25558823529412,0.98693953385897,34,"Tropical"
"129",411.2,"Lochkovian",1.71703703703704,1.00739502150087,27,-6.79185185185185,1.78830180948948,27,"Tropical"
"130",416,"Pridoli",2.405,0.983830382851751,28,-4.07607142857143,0.779502877127298,28,"Tropical"
"131",418.7,"Gorstian-Ludfordian",0.371333333333333,1.56172922138236,30,-5.441,1.00279041713095,30,"Tropical"
"132",422.9,"Sheinwoodian/Tonawandan-Homerian/Lockportian",2.32005167958656,2.522203884018,387,-4.8249354005168,1.18720889356338,387,"Tropical"
"133",428.2,"Telychian/Ontarian",1.69405701754386,1.88176278971125,456,-4.72899122807018,0.675561363583531,456,"Tropical"
"134",436,"Aeronian?",1.1756,0.667420906674841,25,-4.898,0.542878132426299,25,"Tropical"
"135",439,"Rhuddanian?",1.1242,1.09563156700245,50,-4.2398,0.607697192317868,50,"Tropical"
"136",443.7,"Hirnantian",2.00776470588235,2.19892409219691,170,-3.88817647058824,1.21380455887074,170,"Tropical"
"137",445.6,"Katian 1?",0.0498648648648649,0.75736024416218,148,-5.06574324324324,0.761674749104513,148,"Tropical"
"138",455.8,"Sandbian II?",-0.685833333333333,0.459039676109184,12,-5.20666666666667,0.744242547626088,12,"Tropical"
"139",460.9,"Darriwilian?",-0.539411764705882,0.783898343658622,34,-7.02235294117647,1.03282800593302,34,"Tropical"
"140",468.1,"Dapingian?",-1.34589285714286,0.87299646315167,56,-7.02821428571429,0.943080266790897,56,"Tropical"
"141",471.8,"Floian",-1.15641025641026,0.651841469181479,39,-8.81589743589744,1.1780285001215,39,"Tropical"
"142",478.6,"Tremadocian",-1.42,0.674787003431453,17,-9.54705882352941,0.833199891276715,17,"Tropical"
"143",496,"Paibian?",-0.487234042553191,0.850947559125196,47,-7.98574468085106,1.03374949593774,47,"Tropical"
