Binned_top,Binned_bottom,Binned_stage,Binned_epoch,Binned_period,mean_d13C,stdev_d13C,N_d13C,mean_d18O,stdev_d18O,N_d18O,mean_d34S,stdev_d34S,N_d34S,mean_87Sr.86Sr,stdev_87Sr.86Sr,N_87Sr.86Sr,data_subset
167.7,171.6,Bajocian,Middle Jurassic,Jurassic,0.1425,0.751509088,12,-0.383846154,0.669210212,13,17.1,1.734935157,3,0.707183083,9.76E-05,12,All
171.6,175.6,Aalenian,Middle Jurassic,Jurassic,0.55,0.605923145,8,-0.29375,0.582750559,8,17.9,NA,1,0.707294,8.76E-06,6,All
175.6,183,Toarcian,Early Jurassic,Jurassic,2.876107383,1.209163611,149,-2.324306122,1.307248871,147,20.73333333,3.189566324,3,0.707231703,9.12E-05,37,All
183,189.5,Pliensbachian,Early Jurassic,Jurassic,1.291830986,1.25883579,142,-1.281870968,1.253093205,155,15.8,2.121320344,2,0.707244861,8.08E-05,72,All
189.5,196.5,Sinemurian,Early Jurassic,Jurassic,1.152786885,1.548849176,61,-0.960655738,0.868864909,61,14.95,1.060660172,2,0.707520903,0.000120144,62,All
196.5,199.6,Hettangian,Early Jurassic,Jurassic,1.608333333,0.779811555,12,-2.183333333,0.828013322,12,NA,NA,0,0.70775776,3.21E-05,25,All
199.6,203.6,Rhaetian,Late Triassic,Triassic,1.641612903,0.521964857,31,-1.739032258,0.600140844,31,17.7,9.333809512,2,0.707744261,5.69E-05,22,All
203.6,216.5,Norian,Late Triassic,Triassic,3.48,NA,1,-2,NA,1,18.31666667,0.716705425,6,0.707960025,0.000154616,29,All
216.5,228,Carnian,Late Triassic,Triassic,3.053421053,0.683212904,38,-2.543157895,1.068237005,38,18.675,0.75,4,0.707647753,5.41E-05,47,All
228,237,Ladinian,Middle Triassic,Triassic,0.745217391,0.579975466,23,-3.906086957,1.729450094,23,20.83333333,4.574203027,3,0.707710666,6.59E-05,31,All
237,245,Anisian,Middle Triassic,Triassic,0.840555556,0.796517953,18,-4.059444444,1.518852013,18,22.3,5.074774215,4,0.707883419,0.000123472,26,All
245,249.7,Olenikian,Early Triassic,Triassic,0.38,0.113137085,2,-7.53,0.664680374,2,26.35,0.070710678,2,0.708106698,0.000126885,14,All
249.7,251,Induan,Early Triassic,Triassic,NA,NA,0,NA,NA,0,17.525,4.895150662,4,0.70767952,0.000319734,17,All
251,253.8,Changhsingian,Lopingian,Permian,3.2365,1.441177424,20,-4.2615,2.124197124,20,NA,NA,0,0.707283194,0.000224576,14,All
253.8,260.4,Wuchiapingian,Lopingian,Permian,3.617878788,0.841244456,33,-3.537878788,1.013545009,33,NA,NA,0,0.707206216,0.000206456,21,All
260.4,265.5,Capitanian,Guadalupian,Permian,4.853,0.780223315,20,-2.796,1.268527534,20,11,NA,1,0.7071732,0.000313435,5,All
265.5,268,Wordian,Guadalupian,Permian,5.966956522,1.527711999,23,-4.134782609,2.10291112,23,14.1,4.344536799,5,0.707232667,0.000141302,3,All
268,270.6,Roadian,Guadalupian,Permian,3.404615385,1.986322462,13,-3.360769231,0.87565653,13,NA,NA,0,0.707082,NA,1,All
270.6,275.6,Kungurian,Cisuralian,Permian,4.244634146,1.535286777,41,-3.654634146,2.558893411,41,14.4,1.272792206,2,0.707006872,8.48E-05,9,All
275.6,284.4,Artinskian,Cisuralian,Permian,3.147857143,1.470045413,14,-4.876666667,1.883272458,12,12.58333333,1.08888322,6,0.707169235,0.00016623,48,All
284.4,294.6,Sakmarian,Cisuralian,Permian,3.1425,1.678057976,8,-4.4725,2.017386924,8,NA,NA,0,0.707566333,0.000266031,40,All
294.6,299,Asselian,Cisuralian,Permian,4.311923077,1.039584606,26,-2.680769231,1.988003869,26,12.6,NA,1,0.707962258,0.000148195,22,All
299,303.9,Gzelian,Late Pennsylvanian, Pennsylvanian,3.698980583,1.035469696,206,-2.596456311,0.910317321,206,12.5,0.141421356,2,0.708201007,8.93E-05,10,All
303.9,306.5,Kasimovian,Late Pennsylvanian, Pennsylvanian,3.761917808,1.028486896,219,-2.253881279,0.698272445,219,11.55,0.494974747,2,0.708251706,8.72E-05,17,All
306.5,311.7,Moscovian,Middle Pennsylvanian, Pennsylvanian,4.719270759,1.468788351,165,-2.636655701,1.058453032,168,13.325,0.394757309,4,0.708279488,4.45E-05,41,All
311.7,318.1,Bashkirian,Early Pennsylvanian, Pennsylvanian,4.498000769,1.151715621,108,-2.769581901,2.25325693,107,15.55714286,0.818244346,7,0.708276828,9.65E-05,29,All
318.1,326.4,Serpukhovian,Late Mississipian,Mississipian,2.498823548,1.649285045,107,-3.161441008,1.627006213,109,14.5875,0.944816687,8,0.70802013,0.000159095,31,All
326.4,345.3,Visean,Middle Mississipian,Mississipian,2.721746413,1.524571885,304,-4.147130825,2.622939841,304,15.25454545,2.273483511,11,0.707842963,0.000184999,196,All
345.3,359.2,Tournaisian,Early Mississipian,Mississipian,2.743454155,1.760538651,161,-3.787639394,2.046047716,161,19.56666667,1.803699901,3,0.708086662,0.000231644,84,All
359.2,374.5,Fammenian,Late Devonian,Devonian,1.057857143,1.378615401,28,-5.68175,1.799176289,40,NA,NA,0,0.708255904,0.000155352,48,All
374.5,385.3,Frasnian,Late Devonian,Devonian,0.858515625,1.490372149,64,-5.998685484,1.571403284,93,24.02,1.999249859,5,0.708108551,7.69E-05,87,All
385.3,391.8,Givetian,Middle Devonian,Devonian,0.914360406,1.422081801,197,-5.11764,1.616569946,223,23.1,0.707106781,2,0.707853846,5.60E-05,55,All
391.8,397.5,Eifelian,Middle Devonian,Devonian,0.898137931,1.310947278,29,-3.947525,1.13351448,40,16.4,NA,1,0.707904679,8.19E-05,90,All
397.5,407,Emsian,Early Devonian,Devonian,0.352871429,0.919478476,210,-5.940741784,1.334958495,213,17,3.892942332,5,0.707930792,0.000127822,93,All
407,411.2,Pragian,Early Devonian,Devonian,1.443670886,0.991918857,79,-5.348101266,1.678816033,79,NA,NA,0,0.7084844,0.000129784,5,All
411.2,416,Lochkovian,Early Devonian,Devonian,2.243762376,0.845034735,101,-5.831089109,1.811499876,101,24.33333333,4.152509282,3,0.708714231,4.69E-05,26,All
416,418.7,Pridoli,Pridoli,Silurian,0.371333333,1.561729221,30,-5.505609756,1.011993203,41,25.32,3.276736181,5,0.708725989,3.46E-05,17,All
418.7,421.3,Ludfordian,Ludlow,Silurian,3.234974874,2.958531043,199,-4.704974874,1.114590958,199,27.13333333,3.295957119,3,0.70869695,3.74E-05,45,All
421.3,422.9,Gorstian,Ludlow,Silurian,1.281698113,1.773018664,106,-5.22990566,1.436624016,106,25.7,NA,1,0.708576928,8.74E-05,20,All
422.9,426.2,Homerian,Wenlock,Silurian,0.93873065,1.539006475,323,-4.471517028,0.664655977,323,27.88571429,4.838191319,7,0.708446231,6.67E-05,41,All
