Bin,Bin name,top,bottom,Midpoint (Ma),Sampled genera,Range-through genera,Boundary-crosser genera,3T origination rate,3T extinction rate,BC extinction rate,Good's u,Collections,Occurrences
19,Eifelian,388.1,391.9,390,158,258,208,0.66,0.546,0.112,0.902,131,645
18,Emsian,391.9,409.1,400.5,189,264,178,0.951,0.781,0.158,0.91,159,863
17,Pragian,409.1,412.3,410.7,141,221,158,0.781,0.54,0.114,0.81,79,353
16,Lochkovian,412.2,416,414.1,117,190,146,1.282,0.83,0.108,0.944,120,569
15,Pridoli,416.1,418.7,417.4,72,165,151,0.881,0.693,0.105,0.916,82,379
14,Ludfordian,418.7,421.3,420,62,168,152,0.747,0.935,0.082,0.906,72,297
13,Gorstian,421.3,422.9,422.1,115,184,144,0.734,0.763,0.141,0.84,30,326
12,Homerian,422.8,426.2,424.5,52,153,135,0.909,0.545,0.022,0.691,18,97
11,Sheinwoodian,426.2,428.2,427.2,81,145,122,0.781,1.474,0.05,0.855,50,256
10,Telychian,428.2,436,432.1,102,144,100,1.697,0.558,0.117,0.835,60,279
9,Aeronian,436,439,437.5,17,101,100,1.251,0.27,0.01,0.857,19,56
8,Rhuddanian,439.1,443.7,441.4,24,102,94,0.963,0.781,0.022,0.711,14,45
7,Hirnantian,443.6,445.6,444.6,43,106,99,0.27,2.028,0.084,0.667,23,69
6,Katian,445.6,455.8,450.7,125,144,91,0.747,1.331,0.234,0.933,216,676
5,Sandbian,455.9,460.9,458.4,79,108,73,0.787,0.55,0.132,0.79,63,195
4,Darriwilian,460.9,468.1,464.5,96,105,47,1.787,0.906,0.137,0.939,165,490
3,Dapingian,468.2,471.8,470,21,49,39,1.717,0.493,0.026,0.618,20,34
2,Floian,471.8,478.6,475.2,36,55,25,0.781,0.963,0.041,0.667,32,69
1,Tremadocian,478.7,488.3,483.5,38,38,0,NA,NA,NA,0.929,103,198
