,,,,Biblio info,,,,Selectivity info,,,,,,,,,,,,,,Odds ratio,,Log odds ratio,,Raw numbers,,,,Percent Extinction,,Extinction Rate,,,,Chi Square,,,,,,,GLM,,,,,,Mean Species Duration/Longevity,,,,Additional Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number,study ID,effect #,coder,Full citation,In-text Citation,Year,Type,Phylum,Bivalve/ Gastropod,Taxon,Tax level,Aggregate Trait,Author's Trait,Trait category,Start stage,End stage,Aggregate Age/ Event,Age/ Event,Global/Regional,Location,Data source,Odds Ratio,Var Odds Ratio,Log odds ratio,Var Lnor,# Ext,# Surv,Total # Ext,Total # Surv,N,%,per-capita extinction,N,Total per-capita extinction,notes,x-square,n,df,p (sur/extinct),% group a extinct,% group b extinct,p (before/after),coefficient,d.f.,p,Note,,Test type,Trait Type Species Total ,Mean Duration (my),p,z,Parametric/Non,Test,n,p,test stat,df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,1,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Endemic,Narrow,Hettangian,Hettangian,Early Jurassic,Hettangian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,7,4,7,14,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,2,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,1986,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Cosmospolitan,Broad,Hettangian,Hettangian,Early Jurassic,Hettangian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,0,10,7,14,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,1,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Endemic,Narrow,Sinemurian,Sinemurian,Early Jurassic,Sinemurian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,10,18,11,55,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,2,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Cosmospolitan,Broad,Sinemurian,Sinemurian,Early Jurassic,Sinemurian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,1,37,11,55,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,1,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Endemic,Narrow,Pliensbachian,Pliensbachian,Early Jurassic,Pliensbachian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,27,19,36,61,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,2,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Cosmospolitan,Broad,Pliensbachian,Pliensbachian,Early Jurassic,Pliensbachian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,9,42,36,61,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,1,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Endemic,Narrow,Toarcian,Toarcian,Early Jurassic,Toarcian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,20,6,36,32,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,2,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Cosmospolitan,Broad,Toarcian,Toarcian,Early Jurassic,Toarcian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,16,26,36,32,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,1,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Endemic,Narrow,Aalenian,Aalenian,Middle Jurassic,Aalenian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,NA,15,NA,42,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberhan 2003 SEA,2,EO,"Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.",Aberhan and Baumiller 2003,2003,PR,Mollusca,Bivalve,bivalve,species,Geographic Range,Cosmospolitan,Broad,Aalenian,Aalenian,Middle Jurassic,Aalenian,0,South America,"data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",,,,,NA,27,NA,42,,,,,,Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,1,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Cosmospolitan,Broad,Oxfordian,Tithonian,Late Jurassic,Late Jurassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,27,103,57,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,2,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Endemic,Narrow,Oxfordian,Tithonian,Late Jurassic,Late Jurassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,30,44,57,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,1,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Cosmospolitan,Broad,Aalenian,Callovian,Middle Jurassic,Middle Jurassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,9,92,22,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,2,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Endemic,Narrow,Aalenian,Callovian,Middle Jurassic,Middle Jurassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,13,40,22,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,1,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Cosmospolitan,Broad,Hettangian,Toarcian,Early Jurassic,Early Jurassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,7,79,29,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,2,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Endemic,Narrow,Hettangian,Toarcian,Early Jurassic,Early Jurassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,22,42,29,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,1,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Cosmospolitan,Broad,Carnian,Rhaetian,Late Triassic,Late Triassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,33,72,84,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,2,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Endemic,Narrow,Carnian,Rhaetian,Late Triassic,Late Triassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,51,57,84,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bretsky 1973 EPP,1,EO,"Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.",Bretsky 1973,1973,PR,Mollusca,Bivalve,bivalve,genera,Geographic Range,Cosmospolitan,Broad,Anisian,Ladinian,Middle Triassic,Middle Triassic,1,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,,,,,0,42,10,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
