"Study ID","Effect","Coder","Biblio info",,,,"Selectivity info",,,,,,,,,,,"Odds ratio",,"Log odds ratio",,"Raw numbers",,,,"Multivariate Logistic Regression",,,,"Proportions",,,"Nonparametric Tests",,,,,,,,,"Computing d in designs with indpt groups",,,,,,,,,,,,,,,"Computing d in designs with paired groups",,,,,,,,,,,,,,,"Computing d in designs with indpt groups using ANCOVA",,,,,,,,,,,,,,,,,,,,,,,"Computing r w/ indpt grps",,,,,,,,,"Extinction info",,,,,"Ratio survive/extinct","Notes","Chi Square",,,,,,,"Extinction Rate",,,,,"GLM",,,,,"Mean Species Duration/Longevity",,,,
,"#",,"Full citation","In-text Citation","Year","Type","Phylum","Bivalve/ Gastropod","Taxon","Tax level","Aggregate Trait","Trait","Trait category","Aggregate Age/ Event","Age/ Event","Location","Data source","Odds Ratio","Var Odds Ratio","Log odds ratio","Var Lnor","# Ext","# Surv","Total # Ext","Total # Surv","Genera","Victims","Log-odds","C.I. (95%)","Prop ext","Prop surv","Total # sp","Test","N","mean g. 1","mean g. 2","sd g. 1","sd g. 2","Test Statistic","df","P","Y1","Y2","Spool","n1","n2","t","n1","n2","F","n1","n2","p","1 or 2","n1","n2","Y1","Y2","Sdiff","r","n","t","r","n","F","r","n","p","1 or 2","r","n","Y1","Y2","Spool","n1","n2","R","q","t","n1","n2","R","q","F","n1","n2","R","q","p","1 or 2","n1","n2","R","q","r","n","t","n","t","r","p","1 or 2","r","Magnitude","Era","Duration","Geo scope","Cause",,,"x-square","n","df","p (sur/extinct)","% group a extinct","% group b extinct","p (before/after)","n","per-capita extinct/orig",,,,"coefficient","d.f.","p","Note",,"Test type","Trait Type Species Total ","Mean Duration","p","z"
"Rivadeneira2007SEL",1,"EO","Rivadeneira, Marcelo M. and Pablo A. Marquet. 2007. Selective extinction of late Neogene bivalves on the temperate Pacific coast of South America","Rivadeneira and Marquet 2007","Rivadeneira and Marquet 2007","PR","Mollusca","Bivalve","bivalve","sp","Body Size","Body Size ",,"Late Neogene","Late Neogene","pacific coast South America","Rivandera/Marq database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R","Cz",,"regional",,,"Body Size (phylogenetically corrected)",,,,,,,,,,,,,6.702,57,0.008,"larger species are less extinction prone",,,,,,
"Jablonski1986MES",1,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Larval Type","Larval Type","Planktotroph","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,17,11,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986MES",2,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Larval Type","Larval Type","Nonplanktotroph","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,14,9,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986MES",1,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",,"gastropod and bivalve","gn","Body Size","Body Size","Large planktotroph","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,25,11,147,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not phylogenetically corrected?; # gast and # bivalve not given",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986MES",2,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",,"gastropod and bivalve","gn","Body Size","Body Size","Median planktotroph","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,94,66,147,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"not phylogenetically corrected?; # gast and # bivalve not given",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986MES",3,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",,"gastropod and bivalve","gn","Body Size","Body Size","Small planktotroph","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,28,22,147,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"not phylogenetically corrected?; # gast and # bivalve not given",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",1,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Life Habit","Life Habit","Infaunal","K/T","K/T","global","Jablonski global database",,,,,114,84,167,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"by using geometric mean of height and length) of >4 cm, is",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",2,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Life Habit","Life Habit","Epifaunal","K/T","K/T","global","Jablonski global database",,,,,53,46,167,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"31% (n = 36), whereas survivorship among genera of <4 cm",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",3,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Trophic Level","Feeding Mode","Suspension","K/T","K/T","global","Jablonski global database",,,,,153,97,165,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"is 41% (n = 160) (0.01 < P < 0.05, binomial proportions test)",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",4,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Trophic Level","Feeding Mode","Deposit","K/T","K/T","global","Jablonski global database",,,,,12,28,165,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"(D.J., unpublished data).",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",1,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Env Distribution","Env Distribution","Near shore-middle shelf","K/T","K/T","global","Jablonski global database",,,,,32,30,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"For the following 4 effect sizes an important figure is in MetaFigure Document explaining the shelf distributions/ bathymetric data",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",2,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Env Distribution","Env Distribution","Inner-outer shelf","K/T","K/T","global","Jablonski global database",,,,,20,10,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",3,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Env Distribution","Env Distribution","Inner-middle shelf","K/T","K/T","global","Jablonski global database",,,,,64,63,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1995SEC",4,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","gn","Env Distribution","Env Distribution","Entire shelf","K/T","K/T","global","Jablonski global database",,,,,30,21,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Simpson2009ARA",1,"EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","gn","Abundance","Relative Abundance",,"Mesozoic-Pleistocene","Induan-Gelasian","global","Pbdb (1631 collections used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,"global","bolide",,"need to EMAIL AUTHORS",,,,,,,,,,,,,,,,,,,,,,
"Smith2006SDB",1,"EO","Smith, Travis J. and Kaustav Roy. 2006. Selectivity during background extinction: Plio-Pleistocene scallops in California. Paleobiology 32: 408-416.","Smith and Roy 2006",2006,"PR","Mollusca","Bivalve","Pectinidae","sp","Body Size","Body Size ","Small","Pliocene-Recent","Late Plioscene-Pleistocene","global","database",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R","Cz",,"global",,,"need to EMAIL AUTHORS about figure 6… ",,,,,,,,,,,,,,,,,,,,,,
"Smith2006SDB",2,"EO","Smith, Travis J. and Kaustav Roy. 2006. Selectivity during background extinction: Plio-Pleistocene scallops in California. Paleobiology 32: 408-416.","Smith and Roy 2006",2006,"PR","Mollusca","Bivalve","Pectinidae","sp","Body Size","Body Size","Moderately small","Pliocene-Recent","Late Plioscene-Pleistocene","global","database",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R","Cz",,"global",,,"need to EMAIL AUTHORS",,,,,,,,,,,,,,,,,,,,,,
"Smith2006SDB",3,"EO","Smith, Travis J. and Kaustav Roy. 2006. Selectivity during background extinction: Plio-Pleistocene scallops in California. Paleobiology 32: 408-416.","Smith and Roy 2006",2006,"PR","Mollusca","Bivalve","Pectinidae","sp","Body Size","Body Size","Large","Pliocene-Recent","Late Plioscene-Pleistocene","global","database",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R","Cz",,"global",,,"need to EMAIL AUTHORS",,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Larval Type","Larval Type","Planktotroph","K/T","K/T","global",,,,,,17,11,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Larval Type","Larval Type","Nonplanktotroph","K/T","K/T","global","Jablonski global database",,,,,14,9,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mass","Mz","1-2MY","global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","gn","Geographic Range","Geographic Range","Endemic","K/T","K/T","global","Jablonski global database",,,,,21,2,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","gn","Geographic Range","Geographic Range","Cosmospolitan","K/T","K/T","global","Jablonski global database",,,,,42,51,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Geographic Range","Geographic Range","Endemic","K/T","K/T","global","Jablonski global database",,,"              ",,46,7,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Geographic Range","Geographic Range","Cosmospolitan","K/T","K/T","global","Jablonski global database",,"       ",,,49,54,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","gn","Species Richness","Species Richness","Species-Rich","K/T","K/T","Coastal Plain",,,,,,25,22,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","gn","Species Richness","Species Richness","Species-Poor","K/T","K/T","Coastal Plain",,,,,,38,31,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Species Richness","Species Richness","Species-Rich","K/T","K/T","Coastal Plain",,,,,,48,20,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","gn","Species Richness","Species Richness","Species-Poor","K/T","K/T","Coastal Plain",,,,,,47,41,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski 1989 TBM",1,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Bivalve","bivalve","gn","Species Richness","Species Richness","Species-poor","K/T","K/T","global","Hoffman 1986 data",,,,,24,27,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,"The Hoffman data was re-analyzed by Jablonski",,,,,,,,,,,,,,,,,,,,,,
"Jablonski 1989 TBM",2,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Bivalve","bivalve","gn","Species Richness","Species Richness","Species-rich","K/T","K/T","global","Hoffman 1986 data",,,,,20,29,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski 1989 TBM",1,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Gastropod","gastropod","gn","Species Richness","Species Richness","Species-poor","K/T","K/T","global","Hoffman 1986 data",,,,,19,63,28,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
"Jablonski 1989 TBM",2,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Gastropod","gastropod","gn","Species Richness","Species Richness","Species-rich","K/T","K/T","global","Hoffman 1986 data",,,,,9,31,28,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,
