,,,,"Biblio info",,,,"Selectivity info",,,,,,,,,,,,,"Odds ratio",,"Log odds ratio",,"Raw numbers",,,,"Percent Extinction",,,"Multivariate Logistic Regression",,,,"Proportions",,,"Nonparametric Tests",,,,,,,,,"Computing d in designs with indpt groups",,,,,,,,,,,,,,,"Computing d in designs with paired groups",,,,,,,,,,,,,,,"Computing d in designs with indpt groups using ANCOVA",,,,,,,,,,,,,,,,,,,,,,,"Computing r w/ indpt grps",,,,,,,,,"Extinction info",,,,,,,,,"Chi Square",,,,,,,"Extinction Rate",,,,,"GLM",,,,,"Mean Species Duration/Longevity",,,,,"Additional Stats",,,,,
108,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Kasimovian","Gzhelian","Late Pennsylvanian","Late Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,6,19,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Kasimovian","Gzhelian","Late Pennsylvanian","Late Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,9,12,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Bashkirian","Bashkirian","Early Pennsylvanian","Early Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,27,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Bashkirian","Bashkirian","Early Pennsylvanian","Early Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,19,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Bashkirian","Bashkirian","Early Pennsylvanian","Early Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,8,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Serpukhovian","Serpukhovian","Late Mississippian","Late Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,26,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Serpukhovian","Serpukhovian","Late Mississippian","Late Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,2,16,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Serpukhovian","Serpukhovian","Late Mississippian","Late Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,4,8,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Tournaisian","Tournaisian","Early Mississippian","Early Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,25,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Tournaisian","Tournaisian","Early Mississippian","Early Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,3,14,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Tournaisian","Tournaisian","Early Mississippian","Early Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,7,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Frasnian","Famennian","Late Devonian","Late Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,5,17,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Frasnian","Famennian","Late Devonian","Late Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,8,16,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Frasnian","Famennian","Late Devonian","Late Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,17,19,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Eifelian","Givetian","Middle Devonian","Middle Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,16,19,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Eifelian","Givetian","Middle Devonian","Middle Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,7,21,19,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Eifelian","Givetian","Middle Devonian","Middle Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,12,25,19,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Lochkovian","Emsian","Early Devonian","Early Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,17,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Lochkovian","Emsian","Early Devonian","Early Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,2,19,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Lochkovian","Emsian","Early Devonian","Early Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,14,29,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Gorstian","Pridolian","Late Silurian","Late Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,10,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Gorstian","Pridolian","Late Silurian","Late Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,4,15,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Gorstian","Pridolian","Late Silurian","Late Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,10,19,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Sheinwoodian","Homerian","Middle Silurian","Middle Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,9,12,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Sheinwoodian","Homerian","Middle Silurian","Middle Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,3,12,12,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Sheinwoodian","Homerian","Middle Silurian","Middle Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,9,22,12,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Rhuddian","Telychian","Early Silurian","Early Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,5,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Rhuddian","Telychian","Early Silurian","Early Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,2,13,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Rhuddian","Telychian","Early Silurian","Early Silurian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,12,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Sandbian","Hirnantian","Late Ordovician","Late Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,5,33,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Sandbian","Hirnantian","Late Ordovician","Late Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,5,15,33,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Sandbian","Hirnantian","Late Ordovician","Late Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,27,33,33,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Dapingian","Darriwilian","Middle Ordovician","Middle Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,4,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Dapingian","Darriwilian","Middle Ordovician","Middle Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,10,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Dapingian","Darriwilian","Middle Ordovician","Middle Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,15,28,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Tremadocian","Floian","Early Ordovician","Early Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,2,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Tremadocian","Floian","Early Ordovician","Early Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,1,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Tremadocian","Floian","Early Ordovician","Early Ordovician","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,5,8,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
