stage,bin,bottom,top,mid,source of stage boundaries,age,packages,genera,genera_global,SIB_genera,Occurrences,Collections,del-18O,del-13C,87Sr-86Sr,del-34S,sea_level,,,,,,,,Stage,Bottom(Ma),Top(Ma),Mid(Ma),,,,,,,,,,,,,,,,,,,ICS,bottom,top,,,,,,,,,,
Zanclean-Placenzian,49,5.33,2.59,3.96,Gradstein 2004,3.96,117,949,1572,780,4830,341,-1.1607,2.3932,0.70902,21.924,45.664,,,,,,,#REF!,Ionian,0.781,#REF!,#REF!,,0.4,0,Ionian-Eemian,0.781,0.012,,0.4,Ionian-Ionian-Eemian,0.781,0.012,,0.9,Calabrian-Eemian-Ionian-Eemian,1.806,0.012,,#REF!,Campanian,83.5,#REF!,,78.2,Santonian-Campanian,85.8,70.6,,,,85.8,70.6
Messinian,49,7.25,5.33,6.29,Gradstein 2004,6.289,92,670,1668,98,209,49,-0.91812,2.7235,0.70896,21.987,45.414,,,,,,,1.2935,Calabrian,1.806,0.781,1.2935,,0.5,1,Ionian,0.781,0.126,,1,Calabrian-Eemian-Ionian,1.806,0.126,,1,Calabrian-Ionian-Ionian,1.806,0.126,,84.7,Santonian,85.8,83.5,,86.1,Coniacian-Santonian,88.6,83.5,,,,88.6,83.5
Tortonian,49,11.61,7.25,9.43,Gradstein 2004,9.427,107,672,1669,144,520,97,-0.70298,2.4173,0.70892,22.067,45.902,,,,,,,2.197,Gelasian,2.588,1.806,2.197,,0.9,1,Calabrian-Eemian,1.806,0.012,,0.9,Calabrian-Ionian-Calabrian-Eemian,1.806,0.012,,0.9,Calabrian-Calabrian-Eemian,1.806,0.012,,87.2,Coniacian,88.6,85.8,,89.7,Turonian-Coniacian,93.6,85.8,,,,93.6,85.8
Serravallian,48,13.65,11.61,12.63,Gradstein 2004,12.629,114,732,1728,248,579,76,-0.81388,2.2423,0.70883,22.104,44.605,,,,,,,3.094,Pliocene,3.6,2.588,3.094,,1,1,Calabrian-Ionian,1.806,0.126,,1,Calabrian-Calabrian-Ionian,1.806,0.126,,1.4,Gelasian-Ionian-Calabrian-Ionian,2.588,0.126,,91.1,Turonian,93.6,88.6,,94.1,Cenomanian-Turonian,99.6,88.6,,,,99.6,88.6
Langian,48,15.97,13.65,14.81,Gradstein 2004,14.81,112,700,1715,218,661,120,-1.0742,2.5779,0.70878,21.974,43.455,,,,,,,4.466,Zanclean,5.332,3.6,4.466,,1.3,1,Calabrian,1.806,0.781,,1.7,Gelasian-Ionian-Calabrian,2.588,0.781,,1.7,Gelasian-Calabrian-Calabrian,2.588,0.781,,96.6,Cenomanian,99.6,93.6,,102.8,Albian-Cenomanian,112,93.6,,,,112,93.6
Burdigalian,48,20.43,15.97,18.2,Gradstein 2004,18.2,116,649,1687,174,276,48,-0.71246,2.6142,0.70856,21.879,47.234,,,,,,,6.289,Messinian,7.246,5.332,6.289,,1.4,1,Gelasian-Ionian,2.588,0.126,,1.4,Gelasian-Calabrian-Gelasian-Ionian,2.588,0.126,,1.4,Gelasian-Gelasian-Ionian,2.588,0.126,,105.8,Albian,112,99.6,,112.3,Aptian-Albian,125,99.6,,,,125,99.6
Aquitanian,48,23.03,20.43,21.73,Gradstein 2004,21.73,102,618,1669,65,105,34,-0.71986,1.7946,0.70831,21.785,50.509,,,,,,,9.427,Tortonian,11.608,7.246,9.427,,1.7,2,Gelasian-Calabrian,2.588,0.781,,1.7,Gelasian-Gelasian-Calabrian,2.588,0.781,,2.2,Pliocene-Calabrian-Gelasian-Calabrian,3.6,0.781,,118.5,Aptian,125,112,,121,Barremian-Aptian,130,112,,,,130,112
Chattian,47,28.4,23.03,25.715,Gradstein 2004,25.715,103,704,1431,333,1040,142,-0.42598,0.80968,0.70815,21.653,52.089,,,,,,,12.629,Serravallian,13.65,11.608,12.629,,2.2,2,Gelasian,2.588,1.806,,2.7,Pliocene-Calabrian-Gelasian,3.6,1.806,,2.7,Pliocene-Gelasian-Gelasian,3.6,1.806,,127.5,Barremian,130,125,,129.5,Hauterivian-Barremian,133.9,125,,,,133.9,125
Rupelian,47,33.9,28.4,31.15,Gradstein 2004,31.15,97,792,1430,487,4305,264,-0.25161,0.753,0.70793,21.757,52.013,,,,,,,14.81,Langhian,15.97,13.65,14.81,,2.2,2,Pliocene-Calabrian,3.6,0.781,,2.2,Pliocene-Gelasian-Pliocene-Calabrian,3.6,0.781,,2.2,Pliocene-Pliocene-Calabrian,3.6,0.781,,132,Hauterivian,133.9,130,,135.1,Valanginian-Hauterivian,140.2,130,,,,140.2,130
Priabonian,46,37.2,33.9,35.55,Gradstein 2004,35.55,112,888,1542,603,3792,337,-0.26606,1.7012,0.70778,22.069,60.744,,,,,,,18.2,Burdigalian,20.43,15.97,18.2,,2.7,3,Pliocene-Gelasian,3.6,1.806,,2.7,Pliocene-Pliocene-Gelasian,3.6,1.806,,3.6,Zanclean-Gelasian-Pliocene-Gelasian,5.332,1.806,,137.1,Valanginian,140.2,133.9,,139.7,Berriasian-Valanginian,145.5,133.9,,,,145.5,133.9
