"Order","Bin.name","Start..Ma.","Midpt","End..Ma.","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","Volcanism","Flood_basalt","Bolide","OA","BC.extinction.rate","BC.extinction.ratePBDB","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals"
-1,"Recent",0.011,0.0055,0,341,-1.1607,2.3932,0.70902,21.924,0,0,0,0,NA,NA,1.19784566487097,0.896171380326212,31,0.267233563625,1.71440945636033,40,NA,NA
0,"Calabrian",1.81,0.9105,0.011,341,-1.1607,2.3932,0.70902,21.924,0,0,0,0,NA,0.012,1.19784566487097,0.896171380326212,31,0.267233563625,1.71440945636033,40,NA,NA
1,"Gelasian",2.6,2.205,1.81,341,-1.1607,2.3932,0.70902,21.924,0,0,0,0,NA,0.012,1.59047455657342,0.699471504373469,30,-0.311575525879808,1.39546206583425,33,NA,NA
2,"Piacenzian",3.6,3.1,2.6,341,-1.1607,2.3932,0.70902,21.924,0,0,0,0,NA,0.012,1.98310344827586,0.502771628420725,29,-0.890384615384615,1.07651467530817,26,NA,NA
3,"Zanclean",5.33,4.465,3.6,195,-1.03941,2.55835,0.70899,21.9555,0,0,0,0,NA,0.036,1.98616710875332,0.593897745501701,21,-0.688613360323887,1.05024222085465,32,NA,NA
4,"Messinian",7.2,6.265,5.33,195,-1.03941,2.55835,0.70899,21.9555,0,0,0,0,0.101,0.013,1.98616710875332,0.593897745501701,21,-0.688613360323887,1.05024222085465,32,NA,-20.43739485
5,"Tortonian",11.61,9.405,7.2,74,-0.81166,2.46103333333333,0.708903333333333,22.0526666666667,0,0,0,0,0.101,0.013,1.95942260208927,0.478217724735443,27.3333333333333,-0.372330733023929,0.983250233544982,53,-0.25,-19.85344485
6,"Serravallian",13.8,12.705,11.61,97.6666666666667,-0.863686666666667,2.4125,0.708843333333333,22.0483333333333,0,0,0,0,0.031,0.009,2.1008911335578,0.369614004984606,30.3333333333333,-0.406453540041473,0.956903865145477,53,0.488,-18.25730778
7,"Langhian",15.97,14.885,13.8,84,-0.89333,2.59605,0.70867,21.9265,0,0,0,0,0.036,0,2.51451048951049,0.301066485464467,17.5,-0.516869414101291,0.903681818750434,45.5,-1.297,-18.44190388
8,"Burdigalian",20.4,18.185,15.97,84,-0.89333,2.59605,0.70867,21.9265,0,0,0,0,0.036,0,2.51451048951049,0.301066485464467,17.5,-0.516869414101291,0.903681818750434,45.5,-1.15,-18.84480749
9,"Aquitanian",23.03,21.715,20.4,74.6666666666667,-0.619433333333333,1.73949333333333,0.70834,21.7723333333333,0,0,0,0,0.048,0.005,1.96797091797092,0.636304647773335,32.6666666666667,-0.231306451360773,0.914092489130945,52.6666666666667,3.779,-13.9216269
10,"Chattian",28.4,25.715,23.03,146.666666666667,-0.465816666666667,1.11909333333333,0.70813,21.7316666666667,0,0,0,0,0.101,0.048,1.46669309788122,0.687534453298071,129.333333333333,-0.635226465251269,1.13889106757698,143.666666666667,3.275,-9.477254873
11,"Rupelian",33.9,31.15,28.4,247.666666666667,-0.31455,1.08796,0.707953333333333,21.8263333333333,0,0,0,0,0.101,0.048,1.08079951639708,0.572362501129902,164.333333333333,-1.07667254368264,1.4178693732604,177.666666666667,1.58,-6.604202176
12,"Priabonian",37.2,35.55,33.9,296.666666666667,-0.333853333333333,1.66603333333333,0.70782,22.0323333333333,0,0,0,0,0.163,0.076,1.33112533093342,0.597175185692991,162.333333333333,-1.33043226045321,1.48514185201286,174.333333333333,-0.076,-4.962890781
13,"Bartonian",40.4,38.8,37.2,274.666666666667,-0.593016666666667,2.37976666666667,0.707766666666667,22.2116666666667,0,0,0,0,0.083,0.033,1.55165589827587,0.842486248864446,108,-1.16213614593378,1.39012917473489,115.666666666667,8.731,5.119307638
14,"Lutetian",48.6,44.5,40.4,207.333333333333,-1.07719666666667,2.68746666666667,0.707756666666667,21.3593333333333,0,0,0,0,0.036,0.024,1.86244252788835,0.899843300070535,77,-0.945007877959928,1.11770735608437,86.3333333333333,-4.416,1.678898299
15,"Ypresian",55.8,52.2,48.6,181.333333333333,-1.24042333333333,2.8138,0.707763333333333,19.9016666666667,0,0,0,0,0.038,0.014,2.2723548085901,1.00191014500259,88,-1.06261213450292,0.868439587017676,97.6666666666667,6.524,9.86786196
16,"Thanetian",58.7,57.25,55.8,173,-1.346085,2.7736,0.70776,18.705,0,0,0,0,0.048,0.018,2.52196078431373,0.936593780660222,62,-1.01821820175439,0.676764040625289,71.5,4.686,16.70984029
17,"Selandian",61.7,60.2,58.7,228.5,-0.78591,2.3813,0.70781,18.262,0,0,0,0,0.035,0.004,2.44339743589744,0.842962194462482,64.5,-0.784679075738125,0.426125564042978,68,4.686,16.70984029
18,"Danian",65.5,63.6,61.7,469,-0.925006666666667,2.3919,0.7078,18.4586666666667,0,0,0,0,0.104,0.106,2.35052102790513,0.842365241382247,143.666666666667,-0.79592466435347,0.60706651906816,146.333333333333,-0.948,17.51152762
19,"Maastrichtian",70.6,68.05,65.5,598,-0.900725,2.1264,0.707815,18.739,0,0,0,0,0.048,0.053,1.99661487519103,0.6979666009611,170.5,-0.744939628109152,0.653151276483854,172,-4.672,14.08516456
20,"Campanian",83.5,77.05,70.6,646.333333333333,-1.4163,2.36806666666667,0.707616666666667,18.478,0,0,0,0,0.048,0.053,2.22254976716541,0.705796213803115,191.333333333333,-1.7604243281471,1.086864788522,193,-6.263,8.927693254
21,"Santonian",85.8,84.65,83.5,390,-1.67876666666667,2.29426666666667,0.707473333333333,18.2973333333333,0,0,0,0,0.021,0.024,2.02564962872862,0.57181660315886,130,-2.79069814366424,0.963832664464298,131.333333333333,9.051,20.10527227
22,"Coniacian",89.3,87.55,85.8,256.666666666667,-1.89996666666667,2.43976666666667,0.707383333333333,18.3183333333333,0,0,0,0,0.005,0.01,1.69520077448813,0.531642665886695,200,-3.72734962744616,0.818995670922451,200.666666666667,-6.14,15.64711347
23,"Turonian",93.5,91.4,89.3,380,-2.1727,2.7866,0.70735,18.652,0,0,0,0,0.039,0.061,1.34588235294118,0.50582959151141,459,-4.22697826086956,0.65251733051987,460,-3.659,12.6023689
24,"Cenomanian",99.6,96.55,93.5,495.333333333333,-2.3837,2.41886666666667,0.7074,17.6246666666667,0,0,0,0,0.056,0.071,1.91598921825948,0.811309655710203,215.333333333333,-2.71282477462056,0.867152826851108,215.666666666667,2.514,15.90837631
25,"Albian",112,105.8,99.6,393.666666666667,-1.64382133333333,2.5998,0.707383333333333,16.8193333333333,0,0,0,0,0.136,0.123,2.57863160854893,1.17879314629568,69.3333333333333,-1.53687549925825,1.05770343481015,70,11.703,28.62895554
26,"Aptian",125,118.5,112,218,-0.780768,1.87171333333333,0.707396666666667,16.503,0,0,0,0,0.091,0.076,2.12738924743782,1.15895282133732,102.666666666667,-0.991656749258246,0.959046505069748,103.333333333333,-19.793,10.54335186
27,"Barremian",130,127.5,125,52.6666666666667,0.007552,1.208313,0.707396666666667,16.9183333333333,0,0,0,0,0.023,0.01,1.76293721919639,1.10933540124418,80,-0.338810442544203,0.764301680293296,81,-6.725,5.910804806
28,"Hauterivian",136.4,133.2,130,75.3333333333333,-0.182483333333333,-0.172810333333333,0.70741,17.1683333333333,0,0,0,0,0.013,0,0.770292049842564,0.917473706039531,157.666666666667,-0.120942194849868,0.531562499928535,157.666666666667,3.63,10.84726767
