"","x"
"intrcpt",0.931527805680624
"OA",0.144843400559992
"BC.extinction.ratePBDB",0.581458197029661
"d18OresidualMean",0.281166274853016
"del.34S",-0.0238165969160879
"del.13C",-0.028941502938175
